,degree,strength,betweenness,closeness,eigenvector,katz,pagerank,hub,authority,clustering,kcore
ALOKINDS.NS,196,54.30401330623609,1.0892534257020238e-05,0.19796668082626567,0.046628283125511684,0.05297178583332792,0.002458688352242574,0.0027231422118364273,0.0027231422118364286,0.2742602330911643,158
AMBER.NS,81,20.35277568737967,0.0,0.16592165661570046,0.020123243824695783,0.02053029845215311,0.0011129075909753578,0.0011752192237188303,0.0011752192237188307,0.3036563709069316,81
AMBUJACEM.NS,265,88.05200948756018,0.0006971221924492952,0.2367568863852859,0.07204153090134695,0.06804235556571175,0.003752613796667511,0.00420730339297955,0.004207303392979547,0.2659856997410812,158
ANANDRATHI.NS,0,0.0,,,,,,,,0.0,0
ANANTRAJ.NS,309,99.1247472482422,0.003888634729756225,0.2493765944267822,0.074651559362239,0.0735180593632621,0.004305038344925242,0.004359731880574036,0.004359731880574035,0.22319352399162629,158
ANGELONE.NS,245,71.50902136155972,1.0892534257020238e-05,0.2150717796897897,0.05897185797027321,0.06419624411124146,0.003096003766707405,0.0034440203452700277,0.0034440203452700308,0.25580059823665247,158
APARINDS.NS,50,12.446135042470138,0.0,0.15049921486655232,0.010909987553820416,0.008511203530442987,0.0008217011575792257,0.0006371550837170649,0.0006371550837170649,0.27778838045671195,50
APOLLOHOSP.NS,38,9.76881790663781,0.004879855347145067,0.16272346651446964,0.005157148238772084,-0.0003088783412742681,0.0013879081704098336,0.00030118303999948084,0.0003011830399994807,0.16611919693579189,29
APOLLOTYRE.NS,212,60.55794858373546,0.00039213123325272854,0.20580608314273693,0.05060375736211063,0.05553761921728169,0.002711725652354636,0.0029553142108913856,0.002955314210891387,0.26019814366235644,158
APTUS.NS,76,19.16667790165028,0.0,0.1643536853578532,0.018948658902979063,0.018625036212043502,0.001119950493366478,0.0011066221927472297,0.001106622192747229,0.30099957509015446,75
ASAHIINDIA.NS,147,38.41388681815542,1.0892534257020238e-05,0.17930090882861277,0.03388745182007823,0.03895521455706132,0.0018151051330798345,0.001979063871050806,0.0019790638710508067,0.27209182359560996,135
ASHOKLEY.NS,278,87.81143992331897,0.005762150621963706,0.2365328770011543,0.06957068591011019,0.06876792760815297,0.004164876919706477,0.004063003370685561,0.004063003370685558,0.24177843419711462,158
ASIANPAINT.NS,26,7.43032111548816,0.0009040803433326797,0.15146548794895112,0.00286262356883485,-0.0035976687675561003,0.0010721262411528183,0.0001671803153444215,0.00016718031534442154,0.17980631372629302,18
ASTERDM.NS,2,0.4808331469900564,0.0,0.1215092174989402,0.0003538424789696437,-0.006691571647975949,0.0003686965768468829,2.066478382293011e-05,2.066478382293012e-05,0.27901162554532716,2
ASTRAZEN.NS,0,0.0,,,,,,,,0.0,0
ASTRAL.NS,185,51.11581082017127,5.446267128510119e-05,0.19858390139698953,0.04295273767910492,0.04724259825964579,0.002348857056832796,0.0025084863788156896,0.002508486378815689,0.255372361238014,147
ATUL.NS,210,58.21021883090187,0.00020695815088338451,0.2054525929205756,0.04549308010252515,0.050962203693064326,0.002755633519526648,0.0026568451263834208,0.002656845126383421,0.2292641281089095,155
AUROPHARMA.NS,84,23.04932396331809,0.0002614208221684857,0.16965462599269115,0.017112865017373125,0.01536452049995645,0.001478669499155514,0.0009994098424947362,0.0009994098424947362,0.23690110114622798,71
DMART.NS,8,1.9627421616890948,1.0892534257020238e-05,0.10772180635908642,0.00018581994325405697,-0.007127832552510657,0.000632437693807788,1.0852085844853025e-05,1.0852085844853031e-05,0.12005939327744038,7
AXISBANK.NS,135,40.07042444728926,2.1785068514040475e-05,0.19284243053649613,0.03531477835849183,0.03402557959400763,0.0018901100597331806,0.002062421286042177,0.0020624212860421774,0.2982168639277979,121
BASF.NS,80,20.62763810393393,0.0,0.16747833855211686,0.019090791759447685,0.018296911155822677,0.0011775575306572099,0.0011149229054304899,0.0011149229054304899,0.28059459839327505,77
BEML.NS,257,82.38265983693536,0.0007951550007624774,0.23163044870299318,0.06796081920914065,0.06648614626017804,0.003557068638183661,0.003968985412592627,0.00396898541259262,0.2657985129905325,158
BLS.NS,267,78.34066417554244,0.00023963575365444523,0.22113369788278645,0.06260388379595994,0.06794236604502103,0.0034189462930581376,0.003656134585328677,0.00365613458532868,0.24067387684811525,158
BSE.NS,131,35.5450205844728,0.0,0.18401698878291228,0.03319344285229507,0.03571420319328609,0.0016847821877736101,0.0019385329960349626,0.0019385329960349637,0.3004516356936354,126
BAJAJ-AUTO.NS,86,23.32960193642625,6.535520554212142e-05,0.1775009108421184,0.019093711170447662,0.017769001618510315,0.0013466670958150232,0.0011150934021932884,0.0011150934021932882,0.2621261682798088,79
BAJFINANCE.NS,87,25.02302905971608,1.0892534257020238e-05,0.18077698307966955,0.01981379382469371,0.01654520881861777,0.0014489903423173423,0.0011571470087245505,0.001157147008724551,0.26223542313990184,78
